id;lutheran;previous_parish;baptised;baptism_date;baptised_at;confirmed;confirmation_date;parish_confirmed;married;marriage_date;parish_married_at
1;false;monitor generating;false;2023-03-25;2023-03-25;false;2023-03-26;back;false;2023-03-26;efficient next-gener
2;true;Fish;true;2023-03-26;2023-03-26;false;2023-03-26;Netherlands Realigne;true;2023-03-26;customized ROI
3;true;metrics Parks servic;false;2023-03-25;2023-03-26;false;2023-03-26;HDD SMS;true;2023-03-26;Idaho Licensed
4;true;Barbados bluetooth;false;2023-03-26;2023-03-26;false;2023-03-25;sky Soap;true;2023-03-25;incentivize Lodge
5;true;Corporate;false;2023-03-26;2023-03-26;false;2023-03-26;deposit;false;2023-03-26;International Austri
6;true;Bike Liaison Soft;true;2023-03-26;2023-03-26;true;2023-03-25;Awesome driver Grani;true;2023-03-25;Mouse
7;true;programming;true;2023-03-26;2023-03-25;true;2023-03-26;sensor;true;2023-03-26;PCI compressing
8;true;Texas;true;2023-03-26;2023-03-26;true;2023-03-26;Virgin solid parse;false;2023-03-26;withdrawal Pants
9;true;vortals;true;2023-03-26;2023-03-26;false;2023-03-26;solution capacitor;false;2023-03-25;Austria port
10;false;Producer Oregon calc;false;2023-03-26;2023-03-26;false;2023-03-25;info-mediaries;false;2023-03-26;Sleek Forward exudin
